,line,word,char,name
,15739,349365,2490788,r/cleaned/text_data_2020-06-15.csv
,14932,345332,2439814,r/cleaned/text_data_2020-06-16.csv
,13461,312775,2214455,r/cleaned/text_data_2020-06-17.csv
,15228,322708,2304934,r/cleaned/text_data_2020-06-18.csv
,10838,267403,1898660,r/cleaned/text_data_2020-06-19.csv
,9808,242469,1725903,r/cleaned/text_data_2020-06-20.csv
,13409,315142,2252907,r/cleaned/text_data_2020-06-21.csv
,14774,340539,2435432,r/cleaned/text_data_2020-06-22.csv
,18423,439060,3108041,r/cleaned/text_data_2020-06-23.csv
,17401,410495,2901331,r/cleaned/text_data_2020-06-24.csv
,21131,512274,3626846,r/cleaned/text_data_2020-06-25.csv
,21396,499378,3527578,r/cleaned/text_data_2020-06-26.csv
,18572,444861,3144316,r/cleaned/text_data_2020-06-27.csv
,19179,450725,3193628,r/cleaned/text_data_2020-06-28.csv
,19431,451682,3197289,r/cleaned/text_data_2020-06-29.csv
,19081,444438,3145447,r/cleaned/text_data_2020-06-30.csv
,22999,533266,3769521,r/cleaned/text_data_2020-07-01.csv
,19309,453653,3212504,r/cleaned/text_data_2020-07-02.csv
,16852,408224,2894343,r/cleaned/text_data_2020-07-03.csv
,15510,389431,2758375,r/cleaned/text_data_2020-07-04.csv
,17678,436174,3099854,r/cleaned/text_data_2020-07-05.csv
,5035,113012,803734,r/cleaned/text_data_2020-07-06.csv
,19149,441391,3141676,r/cleaned/text_data_2020-07-07.csv
,2,2,25,r/cleaned/text_data_2020-07-08.csv
,2,2,25,r/cleaned/text_data_2020-07-09.csv
,24659,592431,4207163,r/cleaned/text_data_2020-07-10.csv
,21641,512480,3621818,r/cleaned/text_data_2020-07-11.csv
,26060,604221,4280702,r/cleaned/text_data_2020-07-12.csv
,22618,522554,3715343,r/cleaned/text_data_2020-07-13.csv
,23393,534117,3789045,r/cleaned/text_data_2020-07-14.csv
,19280,455922,3243097,r/cleaned/text_data_2020-07-15.csv
,19144,433611,3078021,r/cleaned/text_data_2020-07-16.csv
,18482,448471,3176637,r/cleaned/text_data_2020-07-17.csv
,16591,370963,2629630,r/cleaned/text_data_2020-07-18.csv
,19555,446142,3171696,r/cleaned/text_data_2020-07-19.csv
,16567,346969,2470876,r/cleaned/text_data_2020-07-20.csv
,17807,403672,2873013,r/cleaned/text_data_2020-07-21.csv
,19574,437676,3103534,r/cleaned/text_data_2020-07-22.csv
,6409,146614,1039304,r/cleaned/text_data_2020-07-23.csv
,14657,342369,2439355,r/cleaned/text_data_2020-07-24.csv
,15281,345887,2462640,r/cleaned/text_data_2020-07-25.csv
,19079,437963,3107449,r/cleaned/text_data_2020-07-26.csv
,16431,374305,2661242,r/cleaned/text_data_2020-07-27.csv
,18358,413704,2960277,r/cleaned/text_data_2020-07-28.csv
,20513,456522,3250389,r/cleaned/text_data_2020-07-29.csv
,15053,336614,2402841,r/cleaned/text_data_2020-07-30.csv
,2,2,25,r/cleaned/text_data_2020-07-31.csv
,2,2,25,r/cleaned/text_data_2020-08-01.csv
,15238,364404,2594183,r/cleaned/text_data_2020-08-02.csv
,14734,336555,2403286,r/cleaned/text_data_2020-08-03.csv
,16762,394473,2799746,r/cleaned/text_data_2020-08-04.csv
,2,2,25,r/cleaned/text_data_2020-08-05.csv
,2,2,25,r/cleaned/text_data_2020-08-06.csv
,2,2,25,r/cleaned/text_data_2020-08-07.csv
,12850,310163,2207897,r/cleaned/text_data_2020-08-08.csv
,18197,399914,2843554,r/cleaned/text_data_2020-08-09.csv
,2,2,25,r/cleaned/text_data_2020-08-10.csv
,2,2,25,r/cleaned/text_data_2020-08-11.csv
,15553,359664,2552555,r/cleaned/text_data_2020-08-12.csv
,15294,350639,2495361,r/cleaned/text_data_2020-08-13.csv
,2,2,25,r/cleaned/text_data_2020-08-14.csv
,2,2,25,r/cleaned/text_data_2020-08-15.csv
,2,2,25,r/cleaned/text_data_2020-08-16.csv
,2,2,25,r/cleaned/text_data_2020-08-17.csv
,2,2,25,r/cleaned/text_data_2020-08-18.csv
,2,2,25,r/cleaned/text_data_2020-08-19.csv
,2,2,25,r/cleaned/text_data_2020-08-20.csv
,2,2,25,r/cleaned/text_data_2020-08-21.csv
,2,2,25,r/cleaned/text_data_2020-08-22.csv
,2,2,25,r/cleaned/text_data_2020-08-23.csv
,2,2,25,r/cleaned/text_data_2020-08-24.csv
,2,2,25,r/cleaned/text_data_2020-08-25.csv
,2,2,25,r/cleaned/text_data_2020-08-26.csv
,2,2,25,r/cleaned/text_data_2020-08-27.csv
,2,2,25,r/cleaned/text_data_2020-08-28.csv
