,number_of_comments,date
0,7741.0,2021-11-29
1,7430.0,2021-11-28
2,8091.0,2021-11-27
3,9520.0,2021-11-26
4,9771.0,2021-11-25
5,5226.0,2021-11-24
6,3315.0,2021-11-23
7,3650.0,2021-11-20
8,3258.0,2021-11-19
9,5061.0,2021-11-18
10,4132.0,2021-11-17
11,5220.0,2021-11-16
12,2597.0,2021-11-15
13,2787.0,2021-11-14
14,2803.0,2021-11-13
15,2769.0,2021-11-12
16,3008.0,2021-11-11
17,3003.0,2021-11-10
18,3046.0,2021-11-09
19,2608.0,2021-11-08
20,2420.0,2021-11-07
21,2653.0,2021-11-06
22,5097.0,2021-11-05
23,3770.0,2021-11-04
24,2647.0,2021-11-03
25,2743.0,2021-11-02
26,2912.0,2021-11-01
27,2685.0,2021-10-31
28,2103.0,2021-10-30
29,2590.0,2021-10-29
30,3298.0,2021-10-28
31,3402.0,2021-10-27
32,3072.0,2021-10-26
33,2504.0,2021-10-25
34,2930.0,2021-10-24
35,2402.0,2021-10-23
36,2501.0,2021-10-22
37,3552.0,2021-10-21
38,3938.0,2021-10-20
39,3365.0,2021-10-19
40,2852.0,2021-10-18
41,2742.0,2021-10-17
42,2236.0,2021-10-16
43,2236.0,2021-10-15
44,2317.0,2021-10-14
45,3739.0,2021-10-13
46,3477.0,2021-10-12
47,2434.0,2021-10-11
48,2124.0,2021-10-10
49,2237.0,2021-10-09
50,2012.0,2021-10-08
51,3224.0,2021-10-07
52,3699.0,2021-10-06
53,3643.0,2021-10-05
54,3669.0,2021-10-04
55,3957.0,2021-10-03
56,2566.0,2021-10-02
57,3633.0,2021-10-01
58,4191.0,2021-09-29
59,7212.0,2021-09-28
60,4390.0,2021-09-27
61,4841.0,2021-09-26
62,3273.0,2021-09-25
63,4381.0,2021-09-24
64,5572.0,2021-09-23
65,6121.0,2021-09-22
66,5150.0,2021-09-21
67,5211.0,2021-09-20
68,5075.0,2021-09-19
69,4397.0,2021-09-18
70,6760.0,2021-09-17
71,7450.0,2021-09-16
72,7035.0,2021-09-15
73,6703.0,2021-09-14
74,5409.0,2021-09-13
75,5631.0,2021-09-12
76,4415.0,2021-09-11
77,4894.0,2021-09-10
78,12084.0,2021-09-09
79,5785.0,2021-09-08
80,7475.0,2021-09-07
81,5820.0,2021-09-06
82,4903.0,2021-09-05
83,4835.0,2021-09-04
84,5711.0,2021-09-03
85,7419.0,2021-09-02
86,8266.0,2021-09-01
87,7970.0,2021-08-31
88,7264.0,2021-08-30
89,7036.0,2021-08-29
90,6514.0,2021-08-28
91,7845.0,2021-08-27
92,9123.0,2021-08-26
93,9756.0,2021-08-25
94,11360.0,2021-08-24
95,10323.0,2021-08-23
96,11941.0,2021-08-22
97,8035.0,2021-08-21
98,8346.0,2021-08-20
99,6916.0,2021-08-19
100,8595.0,2021-08-18
101,7389.0,2021-08-17
102,9846.0,2021-08-16
103,8101.0,2021-08-15
104,7584.0,2021-08-14
105,10193.0,2021-08-11
106,7781.0,2021-08-10
107,9508.0,2021-08-09
108,9078.0,2021-08-08
109,7676.0,2021-08-07
110,10365.0,2021-08-06
111,10098.0,2021-08-05
112,10529.0,2021-08-04
113,10616.0,2021-08-03
114,11098.0,2021-08-02
115,13657.0,2021-07-31
116,8639.0,2021-07-30
117,13999.0,2021-07-29
118,10452.0,2021-07-28
119,6471.0,2021-07-25
120,7151.0,2021-07-24
121,7537.0,2021-07-23
122,8162.0,2021-07-22
123,8835.0,2021-07-21
124,7275.0,2021-07-20
125,6216.0,2021-07-19
126,6601.0,2021-07-18
127,17583.0,2021-07-17
128,6520.0,2021-07-16
129,7615.0,2021-07-15
130,5106.0,2021-07-14
131,5942.0,2021-07-13
132,5786.0,2021-07-12
133,5005.0,2021-07-11
134,5883.0,2021-07-10
135,5747.0,2021-07-09
136,6308.0,2021-07-08
137,5478.0,2021-07-07
138,5912.0,2021-07-06
139,4396.0,2021-07-05
140,4044.0,2021-07-04
141,3695.0,2021-07-03
142,3360.0,2021-07-02
143,3148.0,2021-07-01
144,2940.0,2021-06-30
145,6450.0,2021-06-29
146,5507.0,2021-06-28
147,5226.0,2021-06-27
148,4144.0,2021-06-26
149,4743.0,2021-06-25
150,4468.0,2021-06-24
151,4742.0,2021-06-23
152,4045.0,2021-06-22
153,3837.0,2021-06-21
154,3652.0,2021-06-20
155,3367.0,2021-06-19
156,3470.0,2021-06-18
157,5397.0,2021-06-16
158,3569.0,2021-06-15
159,3730.0,2021-06-14
160,4075.0,2021-06-13
161,3082.0,2021-06-12
162,2979.0,2021-06-11
163,4337.0,2021-06-09
164,3769.0,2021-06-08
165,4998.0,2021-06-07
166,3302.0,2021-06-05
167,3241.0,2021-06-04
168,4287.0,2021-06-03
169,4281.0,2021-06-02
170,3396.0,2021-06-01
171,3805.0,2021-05-31
172,4386.0,2021-05-29
173,4931.0,2021-05-28
174,4851.0,2021-05-27
175,4613.0,2021-05-26
176,4741.0,2021-05-25
177,3669.0,2021-05-24
178,4690.0,2021-05-23
179,4019.0,2021-05-22
180,3430.0,2021-05-21
181,5145.0,2021-05-20
182,5051.0,2021-05-19
183,6707.0,2021-05-18
184,8414.0,2021-05-17
185,12673.0,2021-05-16
186,8725.0,2021-05-15
187,8089.0,2021-05-14
188,11844.0,2021-05-12
189,5953.0,2021-05-11
190,5508.0,2021-05-10
191,6279.0,2021-05-09
192,4048.0,2021-05-08
193,5272.0,2021-05-07
194,5061.0,2021-05-06
195,5295.0,2021-05-05
196,6439.0,2021-05-04
197,5984.0,2021-05-03
198,5525.0,2021-05-02
199,4339.0,2021-05-01
200,5765.0,2021-04-30
201,8915.0,2021-04-29
202,7116.0,2021-04-28
203,7599.0,2021-04-27
204,7594.0,2021-04-26
205,8567.0,2021-04-25
206,6284.0,2021-04-24
207,6419.0,2021-04-23
208,7172.0,2021-04-22
209,5823.0,2021-04-20
210,8487.0,2021-04-19
211,8116.0,2021-04-18
212,6549.0,2021-04-17
213,5560.0,2021-04-16
214,8045.0,2021-04-15
215,8845.0,2021-04-14
216,6836.0,2021-04-13
217,8033.0,2021-04-08
218,9079.0,2021-04-07
219,10797.0,2021-04-06
220,9343.0,2021-04-05
221,7848.0,2021-04-04
222,7060.0,2021-04-03
223,6954.0,2021-04-02
224,8159.0,2021-04-01
225,8752.0,2021-03-31
226,8354.0,2021-03-30
227,8955.0,2021-03-29
228,8549.0,2021-03-28
229,6502.0,2021-03-27
230,1371.0,2021-03-26
231,5818.0,2021-03-16
232,8102.0,2021-03-15
233,8233.0,2021-03-14
234,9034.0,2021-03-13
235,9402.0,2021-03-12
236,11987.0,2021-03-11
237,8262.0,2021-03-10
238,7555.0,2021-03-09
239,7638.0,2021-03-08
240,5159.0,2021-03-07
241,1130.0,2021-03-06
